FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.650,650,Government,1,4183,Auburn South Primary School,Primary,O,419 Tooronga Road,,Hawthorn East,VIC,3123,419 Tooronga Road,,HAWTHORN EAST,VIC,3123,03 9882 2140,111,Boroondara (C),145.0459,-37.8393,MULTIPOINT ((-37.8392630009143 145.045894))
vic_school_locations_2019.651,651,Government,1,4193,Aspendale Primary School,Primary,O,23 Laura Street,,Aspendale,VIC,3195,23 Laura Street,,Aspendale,VIC,3195,03 9580 3255,343,Kingston (C),145.0998,-38.0203,MULTIPOINT ((-38.02027300091574 145.09975599999999))
vic_school_locations_2019.652,652,Government,1,4212,Eltham North Primary School,Primary,O,35-47 Wattletree Road,,Eltham North,VIC,3095,35-47 Wattletree Road,,ELTHAM NORTH,VIC,3095,03 9439 9639,571,Nillumbik (S),145.1509,-37.7001,MULTIPOINT ((-37.70011091091317 145.15086549999998))
vic_school_locations_2019.653,653,Government,1,4215,Merrivale Primary School,Primary,O,158 Merrivale Drive,,Warrnambool,VIC,3280,P O Box 394,,WARRNAMBOOL,VIC,3280,03 5562 7172,673,Warrnambool (C),142.4561,-38.378,MULTIPOINT ((-38.3780180009185 142.456146))
vic_school_locations_2019.654,654,Government,1,4217,Dandenong West Primary School,Primary,O,32 Birdwood Avenue,,Dandenong,VIC,3175,32 Birdwood Avenue,,DANDENONG,VIC,3175,03 9792 2868,267,Greater Dandenong (C),145.2004,-37.9807,MULTIPOINT ((-37.98074100091543 145.200416))
vic_school_locations_2019.655,655,Government,1,4219,Yarra Road Primary School,Primary,O,222 - 228 Yarra Road,,Croydon,VIC,3136,222 - 228 Yarra Road,,CROYDON,VIC,3136,03 9723 4182,441,Maroondah (C),145.2722,-37.7664,MULTIPOINT ((-37.76640100091371 145.272227))
vic_school_locations_2019.656,656,Government,1,4220,Aberfeldie Primary School,Primary,O,1 Doone Street,,Essendon,VIC,3040,1 Doone Street,,Essendon,VIC,3040,03 9337 8084,506,Moonee Valley (C),144.8948,-37.7565,MULTIPOINT ((-37.75648800091362 144.894774))
vic_school_locations_2019.657,657,Government,1,4224,Manifold Heights Primary School,Primary,O,20-24 Strachan Avenue,,Manifold Heights,VIC,3218,20-24 Strachan Avenue,,MANIFOLD HEIGHTS,VIC,3218,03 5229 9643,275,Greater Geelong (C),144.3329,-38.136,MULTIPOINT ((-38.13597100091665 144.332922))
vic_school_locations_2019.658,658,Government,1,4226,Nungurner Primary School,Primary,O,455 Nungurner Road,,Nungurner,VIC,3909,455 Nungurner Road,,NUNGURNER,VIC,3909,03 5156 3232,211,East Gippsland (S),147.8884,-37.8659,MULTIPOINT ((-37.86591700091452 147.888387))
vic_school_locations_2019.659,659,Government,1,4257,Dingley Primary School,Primary,O,111-115 Centre Dandenong Road,,Dingley Village,VIC,3172,P O Box 79,,DINGLEY VILLAGE,VIC,3172,03 9551 3555,343,Kingston (C),145.1325,-37.9826,MULTIPOINT ((-37.98260200091544 145.132498))
